rank,name,owner,description,language,stars,stars_since,forks,topics,url,crawl_time,since,page
2,brunodev85/winlator,brunodev85,Android application for running Windows applications with Wine and Box86/Box64,C,17669,11,1437,,https://github.com/brunodev85/winlator,2026-05-25T11:36:09.433318+00:00,daily,c
3,vysheng/tg,vysheng,telegram-cli,C,7042,4,1732,,https://github.com/vysheng/tg,2026-05-25T11:36:09.434286+00:00,daily,c
4,DeusData/codebase-memory-mcp,DeusData,"High-performance code intelligence MCP server. Indexes codebases into a persistent knowledge graph — average repo in milliseconds. 155 languages, sub-ms queries, 99% fewer tokens. Single static binary, zero dependencies.",C,2703,143,290,,https://github.com/DeusData/codebase-memory-mcp,2026-05-25T11:36:09.435324+00:00,daily,c
5,openwrt/openwrt,openwrt,This repository is a mirror of,C,26997,10,12434,,https://github.com/openwrt/openwrt,2026-05-25T11:36:09.436146+00:00,daily,c
6,immortalwrt/immortalwrt,immortalwrt,An opensource OpenWrt variant for mainland China users.,C,10832,9,3562,,https://github.com/immortalwrt/immortalwrt,2026-05-25T11:36:09.436991+00:00,daily,c
7,curl/curl,curl,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, MQTTS, POP3, POP3S, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features",C,42013,15,7217,,https://github.com/curl/curl,2026-05-25T11:36:09.437840+00:00,daily,c
8,qmk/qmk_firmware,qmk,Open-source keyboard firmware for Atmel AVR and Arm USB families,C,20393,4,43908,,https://github.com/qmk/qmk_firmware,2026-05-25T11:36:09.438611+00:00,daily,c
9,nothings/stb,nothings,stb single-file public domain libraries for C/C++,C,33747,18,8056,,https://github.com/nothings/stb,2026-05-25T11:36:09.439454+00:00,daily,c
10,mit-pdos/xv6-riscv,mit-pdos,Xv6 for RISC-V,C,9807,5,4002,,https://github.com/mit-pdos/xv6-riscv,2026-05-25T11:36:09.440515+00:00,daily,c
11,pbatard/rufus,pbatard,The Reliable USB Formatting Utility,C,36178,18,3060,,https://github.com/pbatard/rufus,2026-05-25T11:36:09.441285+00:00,daily,c
12,flipperdevices/flipperzero-firmware,flipperdevices,Flipper Zero firmware source code,C,16047,6,3364,,https://github.com/flipperdevices/flipperzero-firmware,2026-05-25T11:36:09.442450+00:00,daily,c
13,Genymobile/scrcpy,Genymobile,Display and control your Android device,C,142346,74,13132,,https://github.com/Genymobile/scrcpy,2026-05-25T11:36:09.443439+00:00,daily,c
14,moonlight-stream/moonlight-android,moonlight-stream,GameStream client for Android,C,6638,9,1230,,https://github.com/moonlight-stream/moonlight-android,2026-05-25T11:36:09.444226+00:00,daily,c
15,FRRouting/frr,FRRouting,The FRRouting Protocol Suite,C,4141,1,1514,,https://github.com/FRRouting/frr,2026-05-25T11:36:09.445035+00:00,daily,c
16,zmkfirmware/zmk,zmkfirmware,ZMK Firmware Repository,C,4069,0,3953,,https://github.com/zmkfirmware/zmk,2026-05-25T11:36:09.445872+00:00,daily,c
17,EchoStretch/kstuff-lite,EchoStretch,,C,114,9,12,,https://github.com/EchoStretch/kstuff-lite,2026-05-25T11:36:09.447276+00:00,daily,c
18,capstone-engine/capstone,capstone-engine,"Capstone disassembly/disassembler framework for ARM, ARM64 (ARMv8), Alpha, BPF, Ethereum VM, HPPA, LoongArch, M68K, M680X, Mips, MOS65XX, PPC, RISC-V(rv32G/rv64G), SH, Sparc, SystemZ, TMS320C64X, TriCore, Webassembly, XCore and X86.",C,8737,3,1679,,https://github.com/capstone-engine/capstone,2026-05-25T11:36:09.448178+00:00,daily,c
19,nanopb/nanopb,nanopb,Protocol Buffers with small code size,C,5395,4,1019,,https://github.com/nanopb/nanopb,2026-05-25T11:36:09.448954+00:00,daily,c
2,nvm-sh/nvm,nvm-sh,Node Version Manager - POSIX-compliant bash script to manage multiple active node.js versions,Shell,93533,23,10195,,https://github.com/nvm-sh/nvm,2026-05-25T11:36:12.412557+00:00,daily,shell
3,czlonkowski/n8n-skills,czlonkowski,n8n skillset for Claude Code to build flawless n8n workflows,Shell,5140,16,882,,https://github.com/czlonkowski/n8n-skills,2026-05-25T11:36:12.413343+00:00,daily,shell
4,youngyangyang04/leetcode-master,youngyangyang04,《代码随想录》LeetCode 刷题攻略：200道经典题目刷题顺序，共60w字的详细图解，视频难点剖析，50余张思维导图，支持C++，Java，Python，Go，JavaScript等多语言版本，从此算法学习不再迷茫！🔥🔥 来看看，你会发现相见恨晚！🚀,Shell,61499,19,12341,,https://github.com/youngyangyang04/leetcode-master,2026-05-25T11:36:12.414006+00:00,daily,shell
5,anthropics/claude-code,anthropics,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.",Shell,126409,307,20736,,https://github.com/anthropics/claude-code,2026-05-25T11:36:12.414618+00:00,daily,shell
6,ophub/amlogic-s9xxx-armbian,ophub,"Supports running Armbian on Amlogic, Allwinner, and Rockchip devices. Support a311d, s922x, s905x3, s905x2, s912, s905d, s905x, s905w, s905, s905l, rk3588, rk3568, rk3399, rk3328, h6, etc.",Shell,9247,8,2923,,https://github.com/ophub/amlogic-s9xxx-armbian,2026-05-25T11:36:12.415205+00:00,daily,shell
7,google/oss-fuzz,google,OSS-Fuzz - continuous fuzzing for open source software.,Shell,12284,5,2764,,https://github.com/google/oss-fuzz,2026-05-25T11:36:12.415937+00:00,daily,shell
8,community-scripts/ProxmoxVE,community-scripts,Proxmox VE Helper-Scripts (Community Edition),Shell,28239,17,2704,,https://github.com/community-scripts/ProxmoxVE,2026-05-25T11:36:12.418763+00:00,daily,shell
9,yuaotian/go-cursor-help,yuaotian,解决Cursor在免费订阅期间出现以下提示的问题: Your request has been blocked as our system has detected suspicious activity / You've reached your trial request limit. / Too many free trial accounts used on this machine.,Shell,26351,9,3185,,https://github.com/yuaotian/go-cursor-help,2026-05-25T11:36:12.419620+00:00,daily,shell
10,basecamp/omarchy,basecamp,"Beautiful, Modern & Opinionated Linux",Shell,23250,38,2339,,https://github.com/basecamp/omarchy,2026-05-25T11:36:12.420543+00:00,daily,shell
