rank,name,owner,description,language,stars,stars_since,forks,topics,url,crawl_time,since,page
9,AikidoSec/safe-chain,AikidoSec,"Protect against malicious code installed via npm, yarn, pnpm, npx, pnpx, pip, uv and poetry with Aikido Safe Chain. Free to use, no tokens required.",JavaScript,1316,119,84,,https://github.com/AikidoSec/safe-chain,2026-05-18T08:34:31.960924+00:00,weekly,javascript
10,vercel/next.js,vercel,The React Framework,JavaScript,139505,213,31084,,https://github.com/vercel/next.js,2026-05-18T08:34:31.961222+00:00,weekly,javascript
11,poloclub/transformer-explainer,poloclub,Transformer Explained Visually: Learn How LLM Transformer Models Work with Interactive Visualization,JavaScript,7511,209,812,,https://github.com/poloclub/transformer-explainer,2026-05-18T08:34:31.961518+00:00,weekly,javascript
12,liyupi/ai-guide,liyupi,程序员鱼皮的 AI 资源大全 + Vibe Coding 零基础教程，分享 OpenClaw 保姆级教程、大模型玩法（DeepSeek / GPT / Gemini / Claude）、最新 AI 资讯、Prompt 提示词大全、AI 知识百科（Agent Skills / RAG / MCP / A2A）、AI 编程教程（Harness Engineering）、AI 工具用法（Cursor / Claude Code / TRAE / Codex / Copilot）、AI 开发框架教程（Spring AI / LangChain）、AI 产品变现指南，帮你快速掌握 AI 技术，走在时代前沿。本项目为开源文档，已升级为鱼皮 AI 导航网站,JavaScript,14051,522,1591,,https://github.com/liyupi/ai-guide,2026-05-18T08:34:31.961821+00:00,weekly,javascript
13,outsourc-e/hermes-workspace,outsourc-e,"Native web workspace for Hermes Agent — chat, terminal, memory, skills, inspector.",JavaScript,4405,561,603,,https://github.com/outsourc-e/hermes-workspace,2026-05-18T08:34:31.962117+00:00,weekly,javascript
14,WhiskeySockets/Baileys,WhiskeySockets,Socket-based TS/JavaScript API for WhatsApp Web,JavaScript,9406,124,3001,,https://github.com/WhiskeySockets/Baileys,2026-05-18T08:34:31.962409+00:00,weekly,javascript
5,colbymchenry/codegraph,colbymchenry,"Pre-indexed code knowledge graph for Claude Code, Codex, Cursor, and OpenCode — fewer tokens, fewer tool calls, 100% local",TypeScript,3763,1935,280,,https://github.com/colbymchenry/codegraph,2026-05-18T08:34:37.025862+00:00,weekly,typescript
6,playcanvas/supersplat,playcanvas,3D Gaussian Splat Editor,TypeScript,8320,1609,897,,https://github.com/playcanvas/supersplat,2026-05-18T08:34:37.026253+00:00,weekly,typescript
7,thesysdev/openui,thesysdev,The Open Standard for Generative UI,TypeScript,5973,1373,419,,https://github.com/thesysdev/openui,2026-05-18T08:34:37.026594+00:00,weekly,typescript
8,amruthpillai/reactive-resume,amruthpillai,"A one-of-a-kind resume builder that keeps your privacy in mind. Completely secure, customizable, portable, open-source and free forever. Try it out today!",TypeScript,37272,523,4203,,https://github.com/amruthpillai/reactive-resume,2026-05-18T08:34:37.026948+00:00,weekly,typescript
9,TanStack/router,TanStack,"🤖 A client-first, server-capable, fully type-safe router and full-stack framework for the web (React and more).",TypeScript,14433,89,1682,,https://github.com/TanStack/router,2026-05-18T08:34:37.027279+00:00,weekly,typescript
10,modem-dev/hunk,modem-dev,Review-first terminal diff viewer for agentic coders,TypeScript,4161,1028,92,,https://github.com/modem-dev/hunk,2026-05-18T08:34:37.027596+00:00,weekly,typescript
11,danielmiessler/Personal_AI_Infrastructure,danielmiessler,Agentic AI Infrastructure for magnifying HUMAN capabilities.,TypeScript,14054,1900,1968,,https://github.com/danielmiessler/Personal_AI_Infrastructure,2026-05-18T08:34:37.027947+00:00,weekly,typescript
12,pnpm/pnpm,pnpm,"Fast, disk space efficient package manager",TypeScript,35110,210,1447,,https://github.com/pnpm/pnpm,2026-05-18T08:34:37.028284+00:00,weekly,typescript
13,iOfficeAI/AionUi,iOfficeAI,"Free, local, open-source 24/7 Cowork app for OpenClaw, Hermes Agent, Claude Code, Codex, OpenCode, Gemini CLI and 20+ more CLI | Customize your assistants | Star if you like it!",TypeScript,25502,1157,2337,,https://github.com/iOfficeAI/AionUi,2026-05-18T08:34:37.028673+00:00,weekly,typescript
14,tech-leads-club/agent-skills,tech-leads-club,"The secure, validated skill registry for professional AI coding agents. Extend Antigravity, Claude Code, Cursor, Copilot and more with absolute confidence.",TypeScript,3742,1064,331,,https://github.com/tech-leads-club/agent-skills,2026-05-18T08:34:37.029149+00:00,weekly,typescript
15,RhysSullivan/executor,RhysSullivan,The missing integration layer for AI agents. Let them call any OpenAPI / MCP / GraphQL / custom js functions in secure environment.,TypeScript,1762,177,112,,https://github.com/RhysSullivan/executor,2026-05-18T08:34:37.029628+00:00,weekly,typescript
16,garrytan/gstack,garrytan,"Use Garry Tan's exact Claude Code setup: 23 opinionated tools that serve as CEO, Designer, Eng Manager, Release Manager, Doc Engineer, and QA",TypeScript,98776,5726,14706,,https://github.com/garrytan/gstack,2026-05-18T08:34:37.030178+00:00,weekly,typescript
5,tinyhumansai/openhuman,tinyhumansai,"Your Personal AI super intelligence. Private, Simple and extremely powerful.",Rust,14838,11571,1277,,https://github.com/tinyhumansai/openhuman,2026-05-18T08:34:42.382359+00:00,weekly,rust
6,domcyrus/rustnet,domcyrus,"Per-process network monitoring for your terminal with deep packet inspection. Cross-platform, sandboxed.",Rust,3352,638,139,,https://github.com/domcyrus/rustnet,2026-05-18T08:34:42.382979+00:00,weekly,rust
7,farion1231/cc-switch,farion1231,"A cross-platform desktop All-in-One assistant for Claude Code, Codex, OpenCode, OpenClaw, Gemini CLI & Hermes Agent. Only official website: ccswitch.io",Rust,74026,7644,4803,,https://github.com/farion1231/cc-switch,2026-05-18T08:34:42.383628+00:00,weekly,rust
8,rust-lang/rustlings,rust-lang,🦀 Small exercises to get you used to reading and writing Rust code!,Rust,62855,113,11193,,https://github.com/rust-lang/rustlings,2026-05-18T08:34:42.384160+00:00,weekly,rust
9,Zackriya-Solutions/meetily,Zackriya-Solutions,"Privacy first, AI meeting assistant with 4x faster Parakeet/Whisper live transcription, speaker diarization, and Ollama summarization built on Rust. 100% local processing. no cloud required. Meetily (Meetly Ai -",Rust,12103,378,1218,,https://github.com/Zackriya-Solutions/meetily,2026-05-18T08:34:42.384736+00:00,weekly,rust
