rank,name,owner,description,language,stars,stars_since,forks,topics,url,crawl_time,since,page
8,apernet/hysteria,apernet,"Hysteria is a powerful, lightning fast and censorship resistant proxy.",Go,21155,1475,2175,,https://github.com/apernet/hysteria,2026-05-18T08:36:01.602174+00:00,monthly,go
9,gitleaks/gitleaks,gitleaks,Find secrets with Gitleaks 🔑,Go,27067,1084,2049,,https://github.com/gitleaks/gitleaks,2026-05-18T08:36:01.602472+00:00,monthly,go
10,influxdata/telegraf,influxdata,"Agent for collecting, processing, aggregating, and writing metrics, logs, and other arbitrary data.",Go,17517,704,5806,,https://github.com/influxdata/telegraf,2026-05-18T08:36:01.602819+00:00,monthly,go
11,hatchet-dev/hatchet,hatchet-dev,"🪓 An orchestration engine for background tasks, AI agents, and durable workflows",Go,7172,324,387,,https://github.com/hatchet-dev/hatchet,2026-05-18T08:36:01.603125+00:00,monthly,go
12,syncthing/syncthing,syncthing,Open Source Continuous File Synchronization,Go,84141,2412,5191,,https://github.com/syncthing/syncthing,2026-05-18T08:36:01.603438+00:00,monthly,go
13,knadh/listmonk,knadh,"High performance, self-hosted, newsletter and mailing list manager with a modern dashboard. Single binary app.",Go,20741,992,2159,,https://github.com/knadh/listmonk,2026-05-18T08:36:01.603732+00:00,monthly,go
14,go-gitea/gitea,go-gitea,"Git with a cup of tea! Painless self-hosted all-in-one software development service, including Git hosting, code review, team collaboration, package registry and CI/CD",Go,55748,894,6707,,https://github.com/go-gitea/gitea,2026-05-18T08:36:01.604033+00:00,monthly,go
15,maximhq/bifrost,maximhq,"Fastest enterprise AI gateway (50x faster than LiteLLM) with adaptive load balancer, cluster mode, guardrails, 1000+ models support & <100 µs overhead at 5k RPS.",Go,5003,1134,605,,https://github.com/maximhq/bifrost,2026-05-18T08:36:01.604392+00:00,monthly,go
16,looplj/axonhub,looplj,"⚡️ Open-source AI Gateway — Use any SDK to call 100+ LLMs. Built-in failover, load balancing, cost control & end-to-end tracing.",Go,3847,746,464,,https://github.com/looplj/axonhub,2026-05-18T08:36:01.604700+00:00,monthly,go
17,harness/harness,harness,"Harness Open Source is an end-to-end developer platform with Source Control Management, CI/CD Pipelines, Hosted Developer Environments, and Artifact Registries.",Go,35883,1115,3130,,https://github.com/harness/harness,2026-05-18T08:36:01.605005+00:00,monthly,go
18,CJackHwang/ds2api,CJackHwang,"DeepSeek-Compatible Middleware Interface: A technical exploration project in Go, focusing on high-concurrency protocol adaptation. It serves as a reference implementation for converting diverse web protocols into standardized formats.",Go,4476,3415,1421,,https://github.com/CJackHwang/ds2api,2026-05-18T08:36:01.605313+00:00,monthly,go
19,microsoft/typescript-go,microsoft,Staging repo for development of native port of TypeScript,Go,25456,706,958,,https://github.com/microsoft/typescript-go,2026-05-18T08:36:01.605602+00:00,monthly,go
20,gastownhall/gascity,gastownhall,Orchestration-builder SDK for multi-agent coding workflows,Go,750,485,238,,https://github.com/gastownhall/gascity,2026-05-18T08:36:01.605941+00:00,monthly,go
21,XTLS/Xray-core,XTLS,"Xray, Penetrates Everything. Also the best v2ray-core. Where the magic happens. An open platform for various uses.",Go,38705,1690,5395,,https://github.com/XTLS/Xray-core,2026-05-18T08:36:01.606250+00:00,monthly,go
22,go-git/go-git,go-git,A highly extensible Git implementation in pure Go.,Go,7465,116,939,,https://github.com/go-git/go-git,2026-05-18T08:36:01.606543+00:00,monthly,go
23,moby/moby,moby,The Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,Go,71563,198,18954,,https://github.com/moby/moby,2026-05-18T08:36:01.606879+00:00,monthly,go
24,gastownhall/beads,gastownhall,Beads - A memory upgrade for your coding agent,Go,23795,3008,1576,,https://github.com/gastownhall/beads,2026-05-18T08:36:01.607185+00:00,monthly,go
1,halo-dev/halo,halo-dev,Halo 是一款强大易用的开源建站工具，从个人博客、知识库，到企业官网、在线商城，Halo 都能助您轻松实现，一站式满足您的多样化建站需求。,Java,38652,456,10262,,https://github.com/halo-dev/halo,2026-05-18T08:36:05.347101+00:00,monthly,java
2,termux/termux-app,termux,Termux - a terminal emulator application for Android OS extendible by variety of packages.,Java,55101,1675,6595,,https://github.com/termux/termux-app,2026-05-18T08:36:05.347683+00:00,monthly,java
3,elastic/elasticsearch,elastic,"Free and Open Source, Distributed, RESTful Search Engine",Java,76718,294,25893,,https://github.com/elastic/elasticsearch,2026-05-18T08:36:05.348179+00:00,monthly,java
4,Creators-of-Create/Create,Creators-of-Create,[NeoForge Mod] Building Tools and Aesthetic Technology,Java,4210,140,1311,,https://github.com/Creators-of-Create/Create,2026-05-18T08:36:05.348671+00:00,monthly,java
5,conductor-oss/conductor,conductor-oss,Conductor is an event driven agentic workflow engine providing durable and highly resilient execution engine for applications and AI Agents,Java,31834,320,894,,https://github.com/conductor-oss/conductor,2026-05-18T08:36:05.349146+00:00,monthly,java
6,crimera/piko,crimera,morphe patches for twitter,Java,3611,397,106,,https://github.com/crimera/piko,2026-05-18T08:36:05.349613+00:00,monthly,java
7,iBotPeaches/Apktool,iBotPeaches,A tool for reverse engineering Android apk files,Java,24548,296,3929,,https://github.com/iBotPeaches/Apktool,2026-05-18T08:36:05.350082+00:00,monthly,java
8,Dev4Mod/WaEnhancer,Dev4Mod,WhatsApp tools for Android,Java,1451,94,194,,https://github.com/Dev4Mod/WaEnhancer,2026-05-18T08:36:05.350539+00:00,monthly,java
9,TheAlgorithms/Java,TheAlgorithms,All Algorithms implemented in Java,Java,65667,394,21150,,https://github.com/TheAlgorithms/Java,2026-05-18T08:36:05.351009+00:00,monthly,java
10,NationalSecurityAgency/ghidra,NationalSecurityAgency,Ghidra is a software reverse engineering (SRE) framework,Java,68594,1383,7539,,https://github.com/NationalSecurityAgency/ghidra,2026-05-18T08:36:05.351472+00:00,monthly,java
11,thingsboard/thingsboard,thingsboard,"Open-source IoT Platform - Device management, data collection, processing and visualization.",Java,21765,225,6305,,https://github.com/thingsboard/thingsboard,2026-05-18T08:36:05.351962+00:00,monthly,java
12,iluwatar/java-design-patterns,iluwatar,Design patterns implemented in Java,Java,94006,261,27372,,https://github.com/iluwatar/java-design-patterns,2026-05-18T08:36:05.352461+00:00,monthly,java
13,MojoLauncher/MojoLauncher,MojoLauncher,"A Minecraft: Java Edition launcher, based on PojavLauncher",Java,588,149,195,,https://github.com/MojoLauncher/MojoLauncher,2026-05-18T08:36:05.352935+00:00,monthly,java
14,Anuken/Mindustry,Anuken,The automation tower defense RTS,Java,27587,374,3435,,https://github.com/Anuken/Mindustry,2026-05-18T08:36:05.353393+00:00,monthly,java
15,apache/kafka,apache,Apache Kafka - A distributed event streaming platform,Java,32618,280,15198,,https://github.com/apache/kafka,2026-05-18T08:36:05.353850+00:00,monthly,java
16,jeecgboot/JeecgBoot,jeecgboot,AI 低代码平台，「低代码 + 零代码」双模式驱动：低代码一键生成前后端代码，零代码 5 分钟搭建系统，AI Skills 一句话画流程、设计表单、生成整套系统。内置 AI聊天、知识库、流程编排、MCP插件等，兼容主流大模型。引领「AI 生成 → 在线配置 → 代码生成 → 手工合并->AI修改」开发模式，消除 Java 项目 80% 的重复工作，提效而不失灵活。,Java,46305,514,15997,,https://github.com/jeecgboot/JeecgBoot,2026-05-18T08:36:05.354310+00:00,monthly,java
17,GeyserMC/Geyser,GeyserMC,A bridge/proxy allowing you to connect to Minecraft: Java Edition servers with Minecraft: Bedrock Edition.,Java,5576,67,820,,https://github.com/GeyserMC/Geyser,2026-05-18T08:36:05.354815+00:00,monthly,java
18,ashishps1/awesome-low-level-design,ashishps1,Learn Low Level Design (LLD) and prepare for interviews using free resources.,Java,24057,720,5875,,https://github.com/ashishps1/awesome-low-level-design,2026-05-18T08:36:05.355308+00:00,monthly,java
1,ggml-org/llama.cpp,ggml-org,LLM inference in C/C++,C++,110711,6697,18340,,https://github.com/ggml-org/llama.cpp,2026-05-18T08:36:11.478951+00:00,monthly,c++
2,imputnet/helium,imputnet,"Private, fast, and honest web browser",C++,16061,2467,394,,https://github.com/imputnet/helium,2026-05-18T08:36:11.479290+00:00,monthly,c++
3,ikawrakow/ik_llama.cpp,ikawrakow,llama.cpp fork with additional SOTA quants and improved performance,C++,2478,397,317,,https://github.com/ikawrakow/ik_llama.cpp,2026-05-18T08:36:11.479673+00:00,monthly,c++
4,bambulab/BambuStudio,bambulab,PC Software for BambuLab and other 3D printers,C++,4486,220,796,,https://github.com/bambulab/BambuStudio,2026-05-18T08:36:11.480081+00:00,monthly,c++
5,hyprwm/Hyprland,hyprwm,"Hyprland is an independent, highly customizable, dynamic tiling Wayland compositor that doesn't sacrifice on its looks.",C++,35859,875,1744,,https://github.com/hyprwm/Hyprland,2026-05-18T08:36:11.480390+00:00,monthly,c++
6,ValveSoftware/Proton,ValveSoftware,Compatibility tool for Steam Play based on Wine and additional components,C++,31513,731,1443,,https://github.com/ValveSoftware/Proton,2026-05-18T08:36:11.480705+00:00,monthly,c++
7,notepad-plus-plus/notepad-plus-plus,notepad-plus-plus,Notepad++ official repository,C++,28063,424,5224,,https://github.com/notepad-plus-plus/notepad-plus-plus,2026-05-18T08:36:11.480998+00:00,monthly,c++
8,qbittorrent/qBittorrent,qbittorrent,qBittorrent BitTorrent client,C++,37527,1072,4685,,https://github.com/qbittorrent/qBittorrent,2026-05-18T08:36:11.481286+00:00,monthly,c++
9,jarczakpawel/BMCU-C-PJARCZAK,jarczakpawel,"BMCU 370C (Hall) firmware for Bambu Lab A1 / A1 mini / P1S with buffer calibration - all known issues fixed, 100% AMS-compatible behavior.",C++,391,167,60,,https://github.com/jarczakpawel/BMCU-C-PJARCZAK,2026-05-18T08:36:11.481555+00:00,monthly,c++
10,MaaAssistantArknights/MaaAssistantArknights,MaaAssistantArknights,"《明日方舟》小助手，全日常一键长草！| A one-click tool for the daily tasks of Arknights, supporting all clients.",C++,21016,701,2618,,https://github.com/MaaAssistantArknights/MaaAssistantArknights,2026-05-18T08:36:11.481862+00:00,monthly,c++
11,WerWolv/ImHex,WerWolv,"🔍 A Hex Editor for Reverse Engineers, Programmers and people who value their retinas when working at 3 AM.",C++,53606,490,2387,,https://github.com/WerWolv/ImHex,2026-05-18T08:36:11.482171+00:00,monthly,c++
12,deepseek-ai/FlashMLA,deepseek-ai,FlashMLA: Efficient Multi-head Latent Attention Kernels,C++,12651,112,1034,,https://github.com/deepseek-ai/FlashMLA,2026-05-18T08:36:11.482470+00:00,monthly,c++
13,wled/WLED,wled,Control WS2812B and many more types of digital RGB LEDs with an ESP32 over WiFi!,C++,18074,273,4166,,https://github.com/wled/WLED,2026-05-18T08:36:11.482755+00:00,monthly,c++
14,BruceDevices/firmware,BruceDevices,Predatory ESP32 Firmware,C++,5636,276,1892,,https://github.com/BruceDevices/firmware,2026-05-18T08:36:11.483038+00:00,monthly,c++
15,mozilla-ai/llamafile,mozilla-ai,Distribute and run LLMs with a single file.,C++,24459,318,1360,,https://github.com/mozilla-ai/llamafile,2026-05-18T08:36:11.483345+00:00,monthly,c++
16,meshtastic/firmware,meshtastic,"The official firmware for Meshtastic, an open-source, off-grid mesh communication system.",C++,7586,309,2360,,https://github.com/meshtastic/firmware,2026-05-18T08:36:11.483667+00:00,monthly,c++
17,organicmaps/organicmaps,organicmaps,"🍃 Organic Maps is a free Android & iOS offline maps app for more than 6M travelers, tourists, hikers, and cyclists. It uses crowd-sourced OpenStreetMap data and is developed with love by the community. No ads, no tracking, no data collection, no crapware. Please donate to support the development!",C++,14049,378,1424,,https://github.com/organicmaps/organicmaps,2026-05-18T08:36:11.484071+00:00,monthly,c++
